city,clinic_name,current_rank,current_score,potential_score,score_gain,gap_to_leader,leader_name,leader_score,phone,email,website
"Toronto, Ontario",Juno Veterinary Summerhill,2,85.0,91.8,6.8,1.0,Juno Veterinary Bloor West,86.0,(647) 558-9191,hello@junovet.com,http://www.junovet.com/
"Vancouver, British Columbia",Tele-Vet,2,84.0,90.7,6.7,3.0,Burrard Animal Hospital + Emergency,87.0,(604) 230-6162,,https://www.tele-vet.ca/
"Calgary, Alberta",VCA Canada Calgary North Animal Hospital & 24 Hour Emergency Service,2,83.0,89.6,6.6,0.0,Trinity Hills 24 Hour Pet Hospital,83.0,(403) 277-0135,,https://vcacanada.com/calgarynorth/
"Guelph, Ontario",Upper Grand Veterinary Services,2,83.0,89.6,6.6,1.0,Peaceful Passing Home Pet Euthanasia Service (previously Dailley Mobile),84.0,(519) 767-9191,reception@uppergrandvets.ca,http://www.uppergrandvets.ca/
"Mississauga, Ontario",Malton Veterinary Services,2,82.0,88.6,6.6,5.0,Burnhamthorpe Animal Hospital,87.0,(905) 678-2929,"maltonvet@rogers.com,cawthorpevet@yahoo.com,cawthorpevet@yahoo.co,altonvet@rogers.com",https://www.maltonveterinaryservices.com/
"Toronto, Ontario",Star Veterinary Hospital,3,83.0,89.6,6.6,3.0,Juno Veterinary Bloor West,86.0,(416) 900-7827,starveterinaryhospital@gmail.com,https://starveterinaryhospital.ca/
"Guelph, Ontario",Campus Estates Animal Hospital,3,81.0,87.5,6.5,3.0,Peaceful Passing Home Pet Euthanasia Service (previously Dailley Mobile),84.0,(519) 837-1212,ceah@petsandvets.ca,https://www.petsandvets.ca/
"Toronto, Ontario",Midtown Mobile Veterinary Hospice Services,4,81.0,87.5,6.5,5.0,Juno Veterinary Bloor West,86.0,(416) 817-3572,info@mmvhs.ca,https://mmvhs.ca/
"Surrey, British Columbia",Panorama Village Animal Hospital,2,80.0,86.4,6.4,1.0,South Surrey Veterinary Hospital,81.0,(604) 575-1133,pvanimalhospital@shaw.ca,https://www.pvanimalhospital.com/
"Abbotsford, British Columbia",Gladys Pet Hospital,2,80.0,86.4,6.4,1.0,Glenn Mountain Animal Hospital,81.0,(604) 850-2000,gph2016@gmail.com,https://gladysvet.ca/
"Abbotsford, British Columbia",Horizon Equine Veterinary Clinic Ltd.,3,80.0,86.4,6.4,1.0,Glenn Mountain Animal Hospital,81.0,(604) 826-5089,care@horizonequine.ca,https://www.horizonequine.ca/
"Abbotsford, British Columbia",Agwest Veterinary Group Ltd.,4,79.0,85.3,6.3,2.0,Glenn Mountain Animal Hospital,81.0,(604) 229-7231,office@agwestvet.com,http://agwestvet.com/
"Cambridge, Ontario",Main Street Animal Hospital,2,79.0,85.3,6.3,1.0,Fisher Mills Animal Hospital,80.0,(519) 622-6988,info@mainstreetanimalhospital.ca,http://www.mainstreetanimalhospital.ca/
"Richmond Hill, Ontario",Bayview Hill Animal Hospital,2,79.0,85.3,6.3,1.0,Dr. Kafai Veterinary Hospital,80.0,(905) 508-1991,bayviewhillanimalhospital@gmail.com,https://www.bayviewhill.ca/
"Surrey, British Columbia",Fraser Heights Animal Hospital,3,77.0,83.2,6.2,4.0,South Surrey Veterinary Hospital,81.0,(604) 588-4161,"fraserheightsvet@shaw.ca,hospital@fhah.ca,petstore@fhah.ca",https://fraserheightsvet.com/
"Langley, British Columbia",Animal Emergency Clinic of the Fraser Valley,2,77.0,83.2,6.2,0.0,Willowbrook Animal Hospital,77.0,(604) 514-1711,,https://animalemerg.com/
"Newmarket, Ontario",Brooker Ridge Animal Hospital,2,78.0,84.2,6.2,1.0,Gorham Animal Hospital,79.0,(905) 898-1010,"vetsnewmarket@gmail.com,zsaleh@live.ca",https://vetsnewmarket.com/
"Almonte, Ontario",Almonte Veterinary Services,2,78.0,84.2,6.2,1.0,Mississippi Mills Animal Hospital,79.0,(613) 256-3443,info@almontevet.com,https://almontevet.com/
"Trois-Rivières, Quebec",Hôpital Vétérinaire Rive-Nord inc.,2,77.0,83.2,6.2,6.0,Veterinary Hospital Trifluvien inc.,83.0,(819) 691-1717,hvrn@bellnet.ca,http://www.hvrn.ca/
"Richmond, Quebec","Dre Marie Frédérique Villemaire, Vétérinaire équin",2,78.0,84.2,6.2,5.0,Bureau Vétérinaire De Richmond (animaux de ferme seulement),83.0,(819) 460-1747,,https://vetequinvillemaire.com/
"Sherbrooke, Quebec",Veterinary Hospital De L'Estrie,2,77.0,83.2,6.2,1.0,Carrefour Santé Animale,78.0,(819) 562-8585,,https://www.hvestrie.com/
