name,pageviews,visitors,visits,bounces,totaltime
/,1111,203,259,205,54693
/canada,154,29,49,27,16649
/canada/british-columbia/gabriola/twin-cedars-veterinary-services/,36,29,32,28,810
/united-states/hawaii/kailua-kona/west-hawaii-animal-urgent-care/,33,29,31,29,1962
/canada/ontario,76,28,41,29,7213
/canada/ontario/port-perry/vets-around-the-corner/,31,24,29,27,163
/contact,32,21,25,21,2611
/canada/ontario/toronto,105,20,40,24,14442
/canada/alberta,73,18,35,22,8526
/canada/alberta/calgary/royal-loop-vet-clinic/,24,18,20,18,365
/united-states/florida/jacksonville/first-coast-no-more-homeless-pets/,18,17,18,18,0
/united-states,58,16,24,16,7674
/canada/alberta/calgary,80,14,33,15,14366
/canada/british-columbia,54,14,19,11,7581
/canada/nova-scotia/halifax/aprilvets-bayers-lake/,15,13,14,13,9
/united-states/georgia/wildwood/dade-county-animal-hospital/,14,13,13,12,684
/canada/ontario/toronto/north-kipling-veterinary-hospital,22,12,18,16,1740
/united-states/arizona/nogales/rojas-roberto-j-dvm,16,12,15,14,38
/canada/manitoba/winnipeg/st-james-veterinary-hospital/,16,12,13,11,2052
/canada/british-columbia/port-hardy/north-island-veterinary-hospital,16,12,13,11,329
/canada/quebec,25,11,17,11,4281
/canada/ontario/port-hope/port-hope-veterinary-emergency-clinic-services/,14,11,12,10,2416
/united-states/hawaii/kihei/aloha-veterinary-care,15,11,12,9,58
/canada/alberta/edmonton/vet-er,11,11,11,11,0
/canada/ontario/toronto/jane-animal-hospital,12,11,11,10,126
/united-states/florida/miami,38,10,18,9,6490
/united-states/illinois/chicago,25,10,15,11,1788
/united-states/florida,17,10,13,10,2412
/canada/alberta/breton/breton-veterinary-services-ltd/,13,10,11,9,296
/united-states/florida/jacksonville,10,10,10,10,0
/united-states/florida/santa-rosa-beach/salt-and-light-veterinary-clinic/,11,10,10,9,484
/united-states/florida/miami/pet-zone-animal-clinic,10,10,10,10,0
/united-states/arizona/camp-verde/complete-pet-care,10,10,10,10,0
/canada/ontario/lanark/north-lanark-veterinary-services,12,9,10,9,519
/united-states/washington/yelm/bloom-pet-hospital/,9,9,9,9,0
/canada/ontario/north-york/toronto-animal-health-partners-emergency-and-specialty-hospital,9,9,9,9,0
/canada/alberta/calgary/springbank-pet-hospital,35,8,13,5,7023
/united-states/georgia/robins-air-force-base/robins-afb-veterinary-treatment-facility/,11,8,11,11,0
/united-states/georgia/blairsville/genesis-animal-care/,10,8,10,10,0
/united-states/south-carolina/myrtle-beach/on-point-animal-hospital-north/,10,8,9,8,155
/canada/alberta/edmonton/nait-animal-health-clinic/,9,8,9,9,0
/united-states/idaho/ponderay/pend-oreille-veterinary-service/,10,8,9,8,782
/canada/alberta/high-prairie/high-prairie-veterinary-services/,9,8,8,7,589
/canada/ontario/toronto/junction-west-animal-hospital,16,8,8,5,3437
/canada/british-columbia/fort-st-john/rivers-animal-hospital/,10,8,8,7,264
/canada/alberta/lac-la-biche/lakeland-animal-care-group/,9,8,8,7,65
/united-states/south-carolina/myrtle-beach/on-point-animal-hospital-surfside/,23,7,21,19,1126
/canada/ontario/mississauga,21,7,12,10,258
